_id,codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao
ObjectId(58f3b7c40d77803ba6787f2a),A325,22/08/2016,5,24,24.2,24,72,74,72,18.7,19.2,18.7,990.2,990.5,990.2,0.2,59,5.7,-3.54,0
ObjectId(58f3b7c40d77803ba6787f2b),A325,22/08/2016,22,31.1,33.7,31,28,28,24,10.3,10.3,9.7,986.1,986.1,985.5,0,78,0,-3.54,0
ObjectId(58f3b7c40d77803ba6787f2c),A325,22/08/2016,9,22.9,23.2,22.8,71,72,69,17.5,17.5,17.1,991.2,991.2,990.9,0,74,5.6,17.16,0
ObjectId(58f3b7c40d77803ba6787f2d),A325,22/08/2016,10,25.4,25.6,22.9,59,71,59,16.7,18,16.7,991.3,991.4,991.2,0.6,76,6.2,541.8,0
ObjectId(58f3b7c40d77803ba6787f2e),A325,22/08/2016,4,24.2,24.2,24.1,74,74,73,19.2,19.2,19,990.5,990.5,990.2,0.5,57,7.2,-3.5,0
ObjectId(58f3b7c40d77803ba6787f31),A325,22/08/2016,8,23.2,23.6,23.2,70,71,70,17.4,17.9,17.4,990.9,990.9,990.6,0,59,4.3,-3.54,0
ObjectId(58f3b7c40d77803ba6787f32),A325,22/08/2016,11,26.8,27,25.2,54,59,54,16.8,17.4,16.4,991.8,991.8,991.3,0,76,6.9,1477,0
ObjectId(58f3b7c40d77803ba6787f33),A325,22/08/2016,2,24.6,25.2,24.6,70,70,64,18.6,18.7,18,990.2,990.2,989.5,1.6,53,10.5,-3.54,0
ObjectId(58f3b7c40d77803ba6787f34),A325,22/08/2016,3,24.2,24.6,24.2,73,73,70,19,19,18.6,990.2,990.2,990.1,0.9,50,7.3,-3.54,0
ObjectId(58f3b7c40d77803ba6787f35),A325,22/08/2016,6,23.7,24,23.7,71,72,71,18.2,18.7,18.2,990.5,990.5,990.2,0,91,5.1,-3.54,0
ObjectId(58f3b7c40d77803ba6787f37),A325,23/08/2016,23,28.4,31.1,28.4,51,51,30,17.3,17.4,11.4,988.3,988.3,987.1,5.5,51,12.1,-3.54,0
ObjectId(58f3b7c40d77803ba6787f38),A325,23/08/2016,11,25.5,25.6,24.8,64,67,64,18.2,18.4,18.1,991.7,991.7,991.1,0.4,76,6,392.1,0
ObjectId(58f3b7c40d77803ba6787f39),A325,22/08/2016,0,26.5,29.3,26.5,56,56,37,17,17,12.9,989,989,988.1,5.6,49,10.4,-3.54,0
ObjectId(58f3b7c40d77803ba6787f3a),A325,23/08/2016,16,32.9,33,31,34,40,34,14.9,16.5,14.4,988,989.3,988,0.4,123,6.8,3408,0
ObjectId(58f3b7c40d77803ba6787f3b),A325,22/08/2016,7,23.6,23.7,23.5,70,71,70,17.8,18.1,17.8,990.7,990.8,990.5,0.1,69,3,-3.54,0
ObjectId(58f3b7c40d77803ba6787f3c),A325,23/08/2016,9,24.8,24.9,24.7,67,69,67,18.2,18.9,18.2,990.7,990.7,990.2,0.9,73,6.1,8192,0
ObjectId(58f3b7c40d77803ba6787f3d),A325,23/08/2016,0,26.6,28.5,26.6,58,58,47,17.7,17.7,16.3,988.1,988.1,987,5.1,54,12.6,-3.54,0
ObjectId(58f3b7c40d77803ba6787f3e),A325,23/08/2016,5,25.1,25.2,24.9,70,73,70,19.3,19.7,19.3,989.3,989.5,989.1,0.8,82,7,-2.35,0
