data_hora,record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
'2016-05-13 12:00:00',20429,619.3712,599.8077,0,32568,30.99,59462,52995,1600854,22.88371,21.1415,31.71513,56.40049,0.9094337,10.06826,0.02289815
'2016-05-13 13:00:00',20430,619.4078,599765,0,33855,31579,57.87,49134,3509112,23.19884,20.83609,32.5752,53.11275,1.072569,9.747534,0.06400271
'2016-05-13 14:00:00',20431,619.0446,599.7894,0,35064,31.63,56033,43796,3440542,23.81463,20.67251,33.41721,50.00652,0.9671527,9.557062,0.06278411
'2016-05-13 15:00:00',20432,619.2674,599.8565,0,35761,32308,54189,42244,3401442,22.6932,20.53857,33.70581,48.01492,0.9927774,9.448451,0.06659186
'2016-06-08 17:00:00',20433,620.1862,599.8412,0,34655,33567,43855,40146,4358.74,20.21745,18.33804,34.01864,41.43143,0.7493456,22.82063,0.03672005
'2016-06-0818:00:00',20434,600.9493,599.7344,254,34076,30029,51033,39783,8037143,19.24419,17.85089,31.98606,44.68996,0.2890278,22.3254,0.03700818
'2016-06-08 19:00:00',20435,620.2137,599.7955,0,30.1,28359,74695,49326,7538703,23.47639,18.28951,29.0452,65.83935,1.09,20.94084,0.04106806
'2016-06-08 20:00:00',20436,620.1649,599.7985,0,28359,26636,81836,74664,7417774,23.53181,23.29085,27.41221,78.93411,0.9915276,20.60493,0.02581623
'2016-06-08 21:00:00',20437,620.1404,599.7344,0,26678,25605,85802,81832,7120244,23.33927,22.98722,26.09093,83.53938,0.29375,19.77846,0.012884
'2016-06-08 22:00:00',20438,620.0825,599.7924,0,25605,24744,88.73,85.83,6858983,23.15388,22.75392,25.15934,87.70731,0.2222917,19.05273,0.01053951
'2016-06-08 23:00:00',20439,620.0427,599.7344,0,24915,24494,90.05,87703,6730993,22.91594,22.59879,24.71003,88.60912,0.8912497,18.6972,0.01510435
'2016-06-09 00:00:00',20440,620.1313,599826,0,24632,23952,94808,90.05,6640625,23.0973,22.81132,24.21928,92.59833,0.1322223,18.44618,0.008635128
'2016-06-09 01:00:00',20441,620.0183,599.6978,0,24102,23812,96512,94836,6711474,23.34376,23.08998,23.96769,95626,0.05777778,18.64298,0.008113847
'2016-06-09 02:00:00',20442,619.9603,599.9451,0,24173,23822,97207,96455,6702373,23.62055,23.27823,23.97589,96.82686,0.6469446,18.6177,0.008592114
'2016-06-09 03:00:00',20443,620.0061,599.7955,0,24334,24093,96609,96294,6499271,23.75125,23.49139,24.17338,96.43383,0.169375,18.05353,0.008015752
'2016-06-09 04:00:00',20444,619.8962,599.8565,0,24334,23852,97832,96285,6496678,23.73316,23.43385,24.08807,96.85606,0,18.04633,0.007741601
'2016-06-09 05:00:00',20445,619.8871,599.71,0,24034,23452,99207,97836,6499498,23.73,23.29183,23.79544,98.38107,0,18.05416,0.007712029
'2016-06-09 06:00:00',20446,600.1313,599.7863,0,23612,23241,99998,99046,6640499,23.53223,23241,23.40205,99.66683,0,18.44583,0.007830158
'2016-06-09 07:00:00',20447,600.1282,599.7833,0,23912,23,99998,99982,6785231,23912,23,23.27545,99.99782,0,18.84786,0.01436475
'2016-06-09 08:00:00',20448,619.3101,599.7589,0,26186,23852,99998,90.81,6981603,25.21481,23852,24.81423,97.69042,0,19.39334,0.01505783
'2016-06-09 09:00:00',20449,619301,599.7955,0,28.2,25796,91332,78242,7865.79,24.62164,23.75319,26.82611,84.80189,1.323056,21.84941,0.03601854
'2016-06-09 10:00:00',20450,619.4445,599.7222,0,29.42,26988,82648,70.76,9113723,24.56929,23.13368,28.40337,75.90224,1.564514,25.3159,0.05678739
'2016-06-09 11:00:00',20451,619.5788,599.7985,0,31.72,28369,73938,58474,9973503,24.27483,22.24419,29.85607,67.56421,1425,27.70417,0.06928023
'2016-06-09 12:00:00',20452,619.6765,599.7344,0,33497,30.59,63176,51691,10915.13,23.65595,21.7422,32.18175,57.2169,1.509931,30.3198,0.09346137
'2016-06-09 13:00:00',20453,619.9573,599.8596,0,34525,31.41,59.31,47603,9958.15,23.14354,21.18495,32.85925,53.30967,1.319236,27.66153,0.08988404
'2016-06-09 14:00:00',20454,601.0073,599.7375,0,34882,31.97,54898,42205,9173102,22.86094,19.63751,33.21672,49.02651,0.9256251,25.48084,0.07402064
'2016-06-09 15:00:00',20455,620.1649,599.9176,0,35683,32998,45508,37939,8865149,21.00793,18.44128,34.36192,41.73674,1.472014,24.62542,0.1160627
'2016-06-09 16:00:00',20456,620.3511,599.8107,0,35304,32428,54417,36435,8021678,22.1048,17.39294,34.27484,40.05937,1.248819,22.28244,0.1028697
'2016-06-09 17:00:00',20457,620.3358,599.7009,0,32408,30138,59957,53803,7619704,22.37402,20.68697,31.24617,56.60932,2.551458,21.16584,0.1280894
'2016-06-09 18:00:00',20458,620.2503,599765,0,30298,27458,69.21,58768,6898415,21.6798,21.23393,28.66344,64.98119,1.940764,19.16226,0.08174316
'2016-06-09 19:00:00',20459,602.6649,599.6978,0,27458,26318,75828,69144,6622639,21.74686,21.24862,26.87984,72.30812,0.8763889,18.39622,0.02832242
'2016-06-09 20:00:00',20460,620.2137,599.8412,0,26378,25836,80861,75855,6450671,22.3419,21.75269,26.08959,78.65996,0.7833334,17.91853,0.02147673
'2016-06-09 21:00:00',20461,620.1679,599.8168,0,25846,25196,83804,80766,6347547,22.37936,22.24498,25.51512,82.41326,0.4675001,17.63208,0.01463454
'2016-06-09 22:00:00',20462,620.1679,599.9023,0,25216,24604,87836,83736,6350131,22.51583,22.25129,24.9009,85.59966,0.6714583,17.63925,0.01509671
'2016-06-09 23:00:00',20463,620.1649,599.8168,0,24644,24375,91.16,87859,6354594,23.03311,22.47423,24.50671,89.80406,0.9259723,17.65165,0.01398506
'2016-06-10 00:00:00',20464,620.1038,599.7161,0,24514,24132,93894,91039,6410259,23.16228,22.83066,24.2581,92.65324,0.1217361,17.80628,0.00832268
'2016-06-10 01:00:00',20465,620.1069,599.7497,0,24173,23792,96113,93836,6593667,23.20999,23.05943,23.99,94.89118,0.03715278,18.31574,0.007965611
'2016-06-10 02:00:00',20466,620.0641,599.7161,0,24064,23772,96859,96014,6686723,23.51544,23.13956,23.92661,96.59836,0.02131945,18.57423,0.007973532
'2016-06-10 03:00:00',20467,600931,599.7894,0,24112,23832,97.15,96312,6613835,23.52028,23.29681,23.96462,96.62994,0.001736111,18.37176,0.007867247
'2016-06-10 04:00:00',20468,600.0854,599.7344,0,23903,23.09,98722,96986,6803258,23.42185,22.84538,23.51008,97.81758,0,18.89794,0.00803205
'2016-06-10 05:00:00',20469,600.0702,599.7497,0,23171,22.78,99676,98426,7076649,23.00421,22.66953,22.95926,99.21566,0,19.65736,0.008279222
'2016-06-10 06:00:00',20470,600.0793,599.7466,0,22.95,22409,99998,99554,7176085,22.93361,22409,22.66722,99.89695,0,19.93357,0.00835685
'2016-06-10 07:00:00',20471,600.0885,599.7497,0,23232,22128,99998,99998,6900097,23232,22128,22.50744,99.99786,0,19.16693,0.01445387
'2016-06-10 08:00:00',20472,619.2613,599.9176,0,24794,23232,99998,95453,6741926,24.16853,23232,23.84124,98.8918,0.07965278,18.72757,0.01439795
'2016-06-10 09:00:00',20473,619.3407,599.7985,0,27107,24632,95.48,80148,7180.2,24.08411,22.85178,25.86207,86.82007,0.9375694,19945,0.027143
'2016-06-10 10:00:00',20474,619301,599.7375,0,29728,26738,80602,65848,8881.7,23.6089,22.27746,28.00054,73.82336,1.333958,24.67139,0.0538121
'2016-06-10 11:00:00',20475,619.8566,599.7772,0,31.7,28098,71.41,56.25,10013.48,23.61461,21.66163,30.09645,64.02242,1.845903,27.81523,0.08897132
'2016-06-10 12:00:00',20476,620.0427,599.7558,0,32718,29.63,60403,50956,9579499,22.33556,20.72699,31.05147,56.5059,1.55368,26.60972,0.09203212
'2016-06-10 13:00:00',20477,620.1557,599.7283,0,34066,31.17,54.14,42845,9151926,22.78854,19.01502,32.66645,48.78408,1.210764,25.42202,0.08884268
'2016-06-10 14:00:00',20478,620.2259,599829,0,34626,32418,48641,40.43,8504.79,21.41287,18.81787,33.72478,44.2771,1.524931,23.62442,0.1130527
'2016-06-10 15:00:00',20479,600.9646,599.8412,0,34914,32.08,48441,38933,6830276,20.49151,17.97681,33.7779,42.90128,1.200417,18.97299,0.09263286
'2016-06-10 16:00:00',20480,620.3083,599.9451,0,35353,32238,45974,37.47,6276739,19.79648,17.81835,33.67489,40.99081,1.015834,17.43539,0.08233846
'2016-06-10 17:00:00',20481,619.9023,599.7222,0,35003,32188,43064,37158,5894.41,19.12655,17.08949,33.41885,40.35791,0.9915276,16.37336,0.08039483
'2016-06-10 18:00:00',20482,620.3206,599.7375,0,33698,30189,48.6,38441,5820.09,18.65027,17.2485,32.16032,42.72688,0.6640279,16.16692,0.05630256
'2016-06-10 19:00:00',20483,600.0702,599.7344,0,30189,26699,65128,48466,6822029,19.73668,18.1181,28.38945,55.87262,0,18.95008,0.008703509
'2016-06-10 20:00:00',20484,620.29,599.7955,0,28159,26218,78113,62971,6796847,22.97983,18.7777,27.40458,71.21277,0.8166668,18.88013,0.02846767
'2016-06-10 21:00:00',20485,620.2686,599.7009,0,27098,25796,81656,78168,6811452,22.99584,22.38814,26.35591,80.2057,1.691944,18.9207,0.0311891
'2016-06-10 22:00:00',20486,620.2473,599765,0,25807,24825,88.14,81.59,6773685,22.82365,22.41242,25.26359,85.23135,0.5959723,18.81579,0.01510571
'2016-06-10 23:00:00',20487,620.2289,599.8626,0,24835,24453,91.55,88191,6599978,23.07873,22.72946,24.58957,90.21935,0.1711805,18.33327,0.009243728
'2016-06-11 00:00:00',20488,620.1771,599.7802,0,24523,24034,93482,91574,6576655,23.15843,22.91122,24.32263,92.44472,0.1546528,18.26849,0.008715432
'2016-06-11 01:00:00',20489,620.1801,599.7344,0,24112,23662,95378,93.48,6705572,23.10931,22.86805,23.89123,94.43021,0.08944444,18.62659,0.008280355
'2016-06-11 02:00:00',20490,620.1496,599.7955,0,23772,23331,96918,95.33,6780297,23.12132,22.74632,23.59018,95.94772,0.06680555,18.83416,0.008148425
'2016-06-11 03:00:00',20491,620.1038,599.7344,0,23692,23.35,97125,96355,6682533,23.14775,22.82388,23.57154,96.66452,0.1805555,18.56259,0.008121078
'2016-06-11 04:00:00',20492,620.0977,599.7253,0,23371,22.87,99023,96718,6766223,22932,22.65269,23.12774,97.88065,0.02173611,18.79506,0.007950451
'2016-06-11 05:00:00',20493,600.9493,599.8412,0,23.09,22.55,99998,98556,7105471,23.08849,22.50723,22.81778,99.37166,0,19.73742,0.008295828
'2016-06-11 06:00:00',20494,619.8077,599.8321,0,23251,22.73,99964,99406,7259.72,23.19606,22.68718,22.97362,99.80058,0.001180556,20.16589,0.008482608
'2016-06-11 07:00:00',20495,600.8516,599.7344,0,24163,23222,99566,96886,6723.15,23.66033,23.07448,23.39845,98.76023,0,18.67542,0.01426802
'2016-06-11 08:00:00',20496,600.9677,599.7344,0,26448,24202,96964,77039,7956755,23963,21.92899,25.29839,88.03138,0.8440276,22.1021,0.02635892
'2016-06-11 09:00:00',20497,620.1679,599.7192,0,28.43,26198,77742,67332,9555843,22.2796,21.19239,27.37368,71.45362,2.334373,26.54401,0.08192932
'2016-06-11 10:00:00',20498,620.1954,599.7466,0,30.08,28.22,67506,56844,10009.4,21.72209,20.13877,29.38278,60.28522,2.322847,27.80389,0.1114733
'2016-06-11 11:00:00',20499,620.1649,599.7161,0,32338,29201,59.91,51064,9798.46,21.89948,19.97371,30.6105,56.00644,1.967639,27.21795,0.1096182
'2016-06-11 12:00:00',20500,620.1801,599.7558,0,32828,30.83,56162,49863,7221421,21.97153,20.10692,31.72048,52.75761,1.452709,20.0595,0.08963622
'2016-06-11 13:00:00',20501,620.1526,599.8107,0,35125,30958,54117,40688,8491457,22.02702,19.28425,32.77097,48.32693,0.9857637,23.58738,0.07608855
'2016-06-11 14:00:00',20502,620.2747,599.8199,0,34904,31.54,49121,40337,7572696,21.66413,18.58441,32.71181,45.41386,0.6714583,21.03527,0.05898055
'2016-06-11 15:00:00',20503,620.3267,599.8321,0,36193,33996,43287,36384,7189825,20.54367,18.13962,34.97241,39.46222,1.105278,19.97174,0.09352893
'2016-06-11 16:00:00',20504,620.0336,599.7283,0,35771,33597,42705,35792,6486349,19.86726,17.51887,34.63136,39.02879,0.7921526,18.01764,0.0712468
'2016-06-11 17:00:00',20505,601.0348,599826,0,35292,32678,41992,37314,6295664,19.30303,17.31077,33.92514,39.64915,0.71875,17.48796,0.06473752
'2016-06-11 18:00:00',20506,600.8455,599765,0,33337,30.63,46698,39526,7067111,18.32019,17.63302,31.83595,43916,0.3300695,19.63086,0.03758494
'2016-06-11 19:00:00',20507,620.3144,599.7344,0,30.68,29.17,61.96,45.91,2922.18,21.40467,17.68124,29.97656,52.9476,0.7629167,8.117167,0.03821694
'2016-06-11 20:00:00',20508,620.3174,599.9359,0,29439,27589,69773,61927,1842.21,21.61494,21.36857,28.63173,65.49622,1.499167,5.11725,0.04472635
'2016-06-11 21:00:00',20509,620.3389,599.8962,0,27.57,26198,76945,69796,1646628,21.87889,21.57561,26.7816,73.95467,1.1725,4.573966,0.0273168
'2016-06-11 22:00:00',20510,620.3602,599.7466,0,26198,25336,83796,76941,1571888,22.44582,21.83563,25.74113,80.32312,0.8775696,4.366355,0.01667571
'2016-06-11 23:00:00',20511,620.2686,599.7344,0,25355,24896,88348,83824,1508462,22.89931,22.40684,25.05578,86.68114,0.3009723,4.190172,0.005785543
'2016-06-12 00:00:00',20512,620.2381,599.7344,0,24946,24754,89012,88188,1469418,22.90388,22.77881,24.85766,88.52319,0.4641667,4.081716,0.006721896
'2016-06-12 01:00:00',20513,620345,599.7344,0,24864,24744,89676,88794,1440247,22.9912,22.83031,24.80516,89.15361,1.138611,4.000686,0.0114038
'2016-06-12 02:00:00',20514,620.2625,599.7711,0,24786,24535,92035,89672,1449368,23.21805,22.94956,24.64853,90.87691,0.5313195,4.026021,0.006132407
'2016-06-12 03:00:00',20515,600.9066,599.7344,0,24574,24243,92488,91791,1463372,23.2211,22.93385,24.41882,92.06319,0.003541667,4.064923,0.002025101
'2016-06-12 04:00:00',20516,620.2808,599.7253,0,24375,23893,94004,91976,1467686,23.03024,22.80697,24.16158,92.78788,0,4.076905,0.001997507
'2016-06-12 05:00:00',20517,600.5861,599.8718,0,24012,23792,94621,93764,1511348,23.04033,22.77753,23.91208,94.13512,0,4.198188,0.002039455
'2016-06-12 06:00:00',20518,620.1679,599.7527,0,24343,23812,94566,93.67,1499559,23.39183,22.81282,24.16169,94.16789,0.08104167,4.165442,0.002457892
'2016-06-12 07:00:00',20519,600.9829,599.7344,0,25156,24034,95558,91828,1577154,23.88643,23.2456,24.40237,94.52236,0.02083333,4.380983,0.003926632
'2016-06-12 08:00:00',20520,620.2747,599.7344,0,25615,24986,91992,89.55,1952242,24.01935,23.41047,25.30682,90.65973,0.3673612,5.422895,0.008027742
'2016-06-12 09:00:00',20521,620.1435,599.7375,0,27348,24934,92691,79302,3077334,24.88194,22.98104,26.27758,85.48428,1.223056,8.548151,0.02408889
'2016-06-12 10:00:00',20522,620.2167,599.7802,0,29.82,26276,82718,66542,3619667,23.63623,22.34347,28.03769,74.78076,0.9643749,10.05463,0.03312793
'2016-06-12 11:00:00',20523,620.2747,599.8412,0,31978,28.15,70.34,57376,5396928,23.31702,21.74172,29.99076,64.08204,1.161736,14.99147,0.05603505
'2016-06-12 12:00:00',20524,610.8883,599.7344,0,33845,29.88,64808,49429,6485.32,23.2634,21.0581,31.90665,56.12419,1.370625,18.01478,0.07944582
'2016-06-12 13:00:00',20525,620.3389,599826,0,33647,30951,56383,44994,8536641,22.04498,18.78662,32.48847,49.77161,1.401527,23.71289,0.09567871
'2016-06-12 14:00:00',20526,620.3267,599.9023,0,34525,31.88,48427,35.41,7603.67,20.93155,16.8954,33.28057,42.5239,1.063194,21.12131,0.0858996
'2016-06-12 15:00:00',20527,619.8718,599.6978,0,35513,32828,39355,32.76,6229.98,18.65644,15.91425,34.27549,35.99827,1.615209,17.3055,0.1292059
'2016-06-12 16:00:00',20528,620.3694,599.8412,0,35503,33167,38492,32192,4496641,18.18727,15.76618,34.45282,34.99511,1.381458,12.49067,0.1117556
'2016-06-12 17:00:00',20529,620.0336,599.8932,0,34786,33046,37723,33429,3662589,17.96252,15.97187,34.19126,35.24067,1.11493,10.17386,0.09080168
'2016-06-12 18:00:00',20530,619.9084,599826,0,34406,31.09,41.61,33966,5061931,17.04582,16.06548,32.6164,38.31501,0.2909722,14.06092,0.03294089
'2016-06-12 19:00:00',20531,600.0702,599.7497,0,31.1,27509,54174,41404,3394059,17.97375,16.42471,29.30968,47.69019,0,9.42794,0.00464316
'2016-06-12 20:00:00',20532,620403,599.7802,0,28.57,27148,71609,53318,1925767,21.65381,17.20781,27.83407,66.35813,1.278125,5.349353,0.03826742
'2016-06-12 21:00:00',20533,620.3724,599.8199,0,27136,26026,76644,71636,1588404,21.66493,21.50327,26.54544,74.13003,0.7127777,4.412232,0.01865431
'2016-06-12 22:00:00',20534,620.3694,599.7497,0,26068,25496,79326,76617,1471844,21.7235,21.5224,25.79532,77.58115,0.5384721,4.088457,0.01301585
'2016-06-12 23:00:00',20535,619.8718,599.7466,0,25556,24835,85292,79322,1417168,22.3122,21.68765,25.21295,82.4378,0.27,3.936578,0.006471646
'2016-06-13 00:00:00',20536,620348,599765,0,24854,24353,89023,85344,1348577,22.56814,22.11646,24.60846,87.27647,0.3040971,3.746046,0.005432404
'2016-06-13 01:00:00',20537,620.3022,599.7924,0,24353,24034,91104,89023,1329914,22.65007,22.37969,24.16983,90.32774,0.1741667,3.694206,0.003408457
'2016-06-13 02:00:00',20538,620.3236,599.7314,0,24243,24034,91964,90718,1297827,22.71976,22.56982,24.1633,91.21553,0.3604861,3.605075,0.004598979
'2016-06-13 03:00:00',20539,620.2839,599.7527,0,24102,23822,93.34,91842,1297853,22.86262,22.60527,23.94051,92.74296,0.4661112,3.605147,0.004658403
'2016-06-13 04:00:00',20540,620.3083,599.8718,0,24234,23802,93254,91796,1282721,22.93252,22.52513,24.09475,92.42728,0.8906251,3.563114,0.007010804
'2016-06-13 05:00:00',20541,600.9554,599.7802,0,24173,23672,92504,85779,1275141,22.54119,21.6141,23.87968,89468,0.8509028,3.542059,0.00887135
'2016-06-13 06:00:00',20542,600.9341,599.7344,0,24132,23.43,87574,85964,1295531,21.70454,21.12923,23.81554,86.95341,0.2979167,3.598698,0.005328888
'2016-06-13 07:00:00',20543,620.1893,599.7497,0,23772,23161,86902,82.46,1346194,21.12923,20.57342,23.36187,85.78641,0.002152778,3.739428,0.003405714
'2016-06-13 08:00:00',20544,600.9432,599826,0,25406,23752,82406,73306,1938795,20.68672,20.02067,24.73227,76.44951,1.618959,5.385541,0.03979795
'2016-06-13 09:00:00',20545,619.7741,599765,0,26538,24764,75695,69203,2433751,20.76507,20.11034,25.48119,73.00105,1.577084,6.760419,0.04570133
'2016-06-13 10:00:00',20546,619.8474,599.7161,0,28.06,26218,70842,60859,4527763,20.87467,19.56183,27.16506,66.08471,0.9900694,12.57712,0.04391793
'2016-06-13 11:00:00',20547,620.2534,599.7344,0,30138,27.2,64582,57127,4880479,21.68714,19.61086,28.39002,61.9178,1.41125,13.55689,0.06506459
'2016-06-13 12:00:00',20548,620.2747,599.8871,0,31048,28.88,60955,52934,3958687,21.23067,19.39019,29.82319,56.43597,1.444375,10.99635,0.07427197
'2016-06-13 13:00:00',20549,620.3541,599.8871,0,31888,29109,57539,47858,7058979,20.85131,18.78811,30.67718,51.74228,0.993264,19.60827,0.06746359
'2016-06-13 14:00:00',20550,620.3877,599829,0,33826,31.02,51107,38835,7839623,20.49297,17.15168,32.53608,43.79388,1.3825,21.77673,0.1023977
'2016-06-13 15:00:00',20551,619.9329,599.9023,0,34614,31451,44728,34716,5813633,18.91898,15.93213,33.17001,38.42108,1.031528,16.14898,0.08473597
'2016-06-13 16:00:00',20552,619.8932,599.8412,0,35054,32158,39042,31.26,4461295,18.8026,14.89851,33.7954,34.31371,1.18493,12.39249,0.09810849
'2016-06-13 17:00:00',20553,619.9115,599.8596,0,34025,30541,50095,31907,4077985,21.71214,14.12888,32.27221,36.67296,0.62375,11.32774,0.05439786
'2016-06-13 18:00:00',20554,619.9329,599.7344,0,31938,30119,39428,34052,6339432,15.40763,13.82688,31.05495,36.50748,0.5202777,17.60953,0.05151086
'2016-06-13 19:00:00',20555,600116,599.7344,0,30119,28188,42282,36953,2113794,14.2809,13.54268,28.94774,39.66527,0.02215278,5.871649,0.004578726
'2016-06-13 20:00:00',20556,620.4152,599.7344,0,28458,26198,66546,41517,1595571,19.67585,14.11135,27.05936,60.22916,1.315277,4.432142,0.04465044
'2016-06-13 21:00:00',20557,620.4091,599.7833,0,26198,25085,72084,66539,1506449,19.7507,19.42268,25.56459,69.27099,0.5256943,4.184582,0.01683076
'2016-06-13 22:00:00',20558,620.3724,599.7497,0,25126,24414,80242,72111,1420.65,20.82226,19.7156,24.7189,76.40911,0.6278472,3.946249,0.01486135
'2016-06-13 23:00:00',20559,620.3022,599.7375,0,24445,23532,85808,80218,1354194,21.17618,20.80183,23.97522,82.94779,0.4786805,3.761651,0.009043963
'2016-06-14 00:00:00',20560,620.2869,599.7497,0,23802,22.85,89012,85136,1309691,21.24825,20.82641,23.37923,86849,0.3478472,3.638031,0.005869091
'2016-06-14 01:00:00',20561,600.3969,599.8351,0,23201,22.81,89046,87934,1312351,21.20043,20.91592,23.01773,88.65667,0.00375,3.645418,0.00186261
'2016-06-14 02:00:00',20562,620345,599.7131,0,23222,22689,89886,88.25,1337183,21.24935,20.88846,22.95065,88.97563,0.01111111,3.714397,0.001963997
'2016-06-14 03:00:00',20563,600.7662,599.8565,0,22.8,22168,92346,89144,1335085,21.01296,20.75784,22.41336,90.84229,0,3.70857,0.001832057
'2016-06-14 04:00:00',20564,600.9005,599.9939,0,22448,21194,94796,91688,1387519,21.14387,20.33882,21.82239,92.99374,0,3.854221,0.001874506
'2016-06-14 05:00:00',20565,600.9005,600.5403,0,21206,19.88,97796,94844,1608077,20.36475,19.48188,20.47349,96.32479,0,4.466882,0.002080471
'2016-06-14 06:00:00',20566,600.8975,600.6166,0,20,19468,99012,97.25,1820701,19.71083,19.24063,19.70674,98.35587,0,5.057502,0.002284636
'2016-06-14 07:00:00',20567,600.8975,599768,0,22188,19458,99457,97191,1951.1,21.7978,19.31001,20.02413,98.75397,0,5.419723,0.004377965
'2016-06-14 08:00:00',20568,620.1557,599.7344,0,25856,22248,97648,74926,2132485,23.01716,20.71618,24.27439,85.69581,0.2535416,5.92357,0.008577198
'2016-06-14 09:00:00',20569,620.2289,599.7253,0,27368,25436,75496,62333,2817002,21.09618,19.35209,26.42763,68.74002,1.157153,7.825007,0.04209813
'2016-06-14 10:00:00',20570,600.9677,599.8779,0,29708,27178,64003,52689,6320808,20.10932,18.65761,28.33693,58.18333,1.849444,17.5578,0.08983878
'2016-06-14 11:00:00',20571,620.3541,599.7344,0,31.16,28.85,58766,44586,4583655,20.29949,17.2934,30.21475,49.87286,2.192847,12.73238,0.1209887
'2016-06-14 12:00:00',20572,620.3389,599.7985,0,32508,29.84,49679,38376,6554.35,19.08317,16.2561,31.39925,43.72778,2.102083,18.20653,0.1368539
'2016-06-14 13:00:00',20573,600.9554,599.7589,0,33078,31.09,43347,35177,7572836,18.00034,15.27947,31.96717,39.63231,2.04132,21.03566,0.1459053
'2016-06-14 14:00:00',20574,620.4304,599.8107,0,33667,31.15,41736,33212,6497.07,17.73372,14.87656,32.73419,36.61394,1.761528,18.04742,0.1348719
'2016-06-14 15:00:00',20575,600.9615,599.7924,0,34894,32168,37163,31846,5497303,17.12438,14.86476,33.5581,34.25091,1.540555,15.27029,0.1243762
'2016-06-14 16:00:00',20576,620.3663,599.8565,0,34716,32428,37919,31062,3662256,16.83048,14.73824,33.65712,33.98085,1.656319,10.17293,0.1288859
'2016-06-14 17:00:00',20577,620.0305,599768,0,34505,31478,39396,32468,3362217,17.35904,15.15899,33.11349,35.48539,1.128681,9.339491,0.08937562
'2016-06-14 18:00:00',20578,619.9054,599.7955,0,33337,31138,39562,34658,2333117,16.18225,15.19297,32.23211,36.77866,0.4338889,6.48088,0.03728012
'2016-06-14 19:00:00',20579,619.9084,599.7344,0,31.17,29638,44253,38607,2051675,16.26275,15.40937,30.71206,41.00234,0.7434027,5.699098,0.04587736
'2016-06-14 20:00:00',20580,619.9146,599.8565,0,29638,28298,53.72,44082,1976035,18.52156,16.10308,28.73795,47.73824,0.1564583,5.488986,0.01149438
'2016-06-14 21:00:00',20581,620348,599.9451,0,28.81,26968,64632,53784,1900353,19.75552,18.48231,27.74388,60.18057,1.446181,5.278758,0.04898307
'2016-06-14 22:00:00',20582,620.2991,599.9329,0,26968,25956,72732,64.57,1844.78,20.75805,19.72207,26.30086,69.70105,0.3458332,5.12439,0.01259413
'2016-06-14 23:00:00',20583,620.3633,599.8871,0,26007,25184,77382,72664,1714161,21.09926,20.70443,25.60965,75.22974,0,4.761558,0.002375304
'2016-06-15 00:00:00',20584,620.3267,599.7894,0,25246,24735,84371,77378,1583631,22.0215,20.96708,25.01185,81.49197,0.1072223,4.398976,0.004125621
'2016-06-15 01:00:00',20585,620.3358,599.7955,0,24744,24394,88.93,84361,1492045,22.50623,21.85593,24.50136,86.75816,0.05048611,4.14457,0.002702088
'2016-06-15 02:00:00',20586,619.9481,599.7985,0,24434,24273,90668,88949,1464325,22.72639,22.46066,24.3714,89.88256,0.2806944,4.067568,0.004575809
'2016-06-15 03:00:00',20587,619.8505,599.7802,0,24353,23872,92816,90609,1498.5,22.76985,22.58941,24.12615,91.65445,0.2326389,4.162498,0.003781271
'2016-06-15 04:00:00',20588,620.3846,599.8993,0,23872,23312,94703,92789,1664322,22.72611,22.39422,23.59771,93.8367,0,4.623116,0.002210419
'2016-06-15 05:00:00',20589,620.3328,599.9054,0,23331,22.63,96352,94.64,1836501,22.47373,21.96414,23.02222,95.31636,0,5.101392,0.002389849
'2016-06-15 06:00:00',20590,600.0702,599.8871,0,22678,22338,97312,96287,2180067,22.11565,21.85642,22.48993,96.93277,0,6.055741,0.002757812
'2016-06-15 07:00:00',20591,620.1862,599.7497,0,23832,22228,97.52,91359,2156106,22.88136,21.78625,22.74792,96.33553,0.008333334,5.989184,0.004958983
'2016-06-15 08:00:00',20592,600.9188,599.7497,0,25716,23292,91246,74184,1977.22,22.02216,20.31841,24.85493,79.35213,0.5585417,5.492278,0.01608036
'2016-06-15 09:00:00',20593,619.8932,599.8107,0,28.07,24966,75.74,63491,2683.33,21.33823,20.2656,26.96978,68.93296,1.105695,7.453694,0.04053246
'2016-06-15 10:00:00',20594,619.9207,599.7344,0,29298,27638,65484,59068,2868842,20.99474,19.71884,28.27381,62.44137,1.670694,7.969006,0.06906068
'2016-06-15 11:00:00',20595,600.9371,599.7344,0,30.92,28.56,60848,50186,3772782,21.1236,19.01132,29.53776,55.95374,2.195694,10.47995,0.1046237
'2016-06-15 12:00:00',20596,620.3144,599.8107,0,31298,29.84,54712,49322,3437288,20.17022,18.73595,30.4954,51.66378,1.717084,9.548023,0.09398365
'2016-06-15 13:00:00',20597,620.3236,599.9023,0,32648,29.65,53437,44398,3148165,20.09467,18.06988,30.97606,48.13814,1.705764,8.744903,0.09998144
'2016-06-15 14:00:00',20598,619.9268,599826,0,34486,30.99,48074,38466,3952835,20.65508,17.28194,32.63116,43.06142,1.461805,10.9801,0.09993251
