data_hora,record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
'2016-08-17 22:00:00',22118,620.3541,599.7283,0,25316,24786,77582,73863,2196213,20.64323,20.21422,24.99482,75.53927,1.31882,6.100593,0.02720274
'2016-08-17 23:00:00',22119,620.3236,599.8168,0,24774,24194,83457,77578,2268886,21.26058,20.5979,24.47723,80.83535,1.385139,6.302461,0.0222232
'2016-08-18 00:00:00',22120,620.3419,599.7802,0,24194,23822,86.02,83402,2297999,21.41473,21.20534,23.98772,85.03152,0.6715278,6.383329,0.01119836
'2016-08-18 01:00:00',22121,620348,599.7497,0,23822,23492,87664,86008,2325356,21.4285,21.30018,23.66463,86.86982,0.7047222,6.459323,0.01037782
'2016-08-18 02:00:00',22122,620.3511,599.8565,0,23502,23.08,88.34,87542,2339541,21.35286,21.05254,23.31183,88.07768,0.4683332,6.498725,0.007622707
'2016-08-18 03:00:00',22123,620.3816,599.7222,0,23.11,22.49,88.68,87904,2324976,21.10364,20.48532,22.86751,88.37901,0.1195139,6.458265,0.004202112
'2016-08-18 04:00:00',22124,600.8761,599.7222,0,22.65,22258,88556,81785,2301153,20.54726,19.08043,22.45535,84.98429,0.02229167,6.392091,0.003242804
'2016-08-18 05:00:00',22125,600.8486,599.7344,0,22368,21656,82684,80476,2263972,19.08571,18.56539,22.05398,81.57415,0,6.288812,0.002891012
'2016-08-18 06:00:00',22126,600.1068,599.8871,0,22318,21306,83164,78968,2241406,18.64247,18.30812,21.67875,82.04019,0,6.226127,0.00285207
'2016-08-18 07:00:00',22127,619.8749,599.8565,0,22.89,22298,78972,75628,2387104,18.52763,18.33595,22.58137,77.30883,1.017153,6.630845,0.02643901
'2016-08-18 08:00:00',22128,619.8535,599.8107,0,25056,22.85,75691,65642,2869662,18.46309,17.84419,23.56764,72.07336,1.689235,7.971283,0.04859568
'2016-08-18 09:00:00',22129,620.2778,599.8412,0,27659,25014,65.88,49.75,4059152,18.54724,15.95758,26.55619,55.56352,2.753958,11.27542,0.1197788
'2016-08-18 10:00:00',22130,619.9603,599.7497,0,29728,27178,50447,44949,4573.81,17.1387,15.78052,28.29744,48.03159,3.102083,12.70503,0.1594485
'2016-08-18 11:00:00',22131,620.3969,599.7466,0,30.97,29138,46677,38922,4997938,16.92773,15.06715,30.04165,42.1206,2.939723,13.88316,0.1760703
