record,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
22981,620.324,599.75,0,27.058,25.416,74.882,67.292,2008.26,20.6678,20.4018,26.0906,71.5171,2.61882,5.5785,0.0497901
22982,620.36,599.734,0,25.416,24.844,79.598,74.882,2089.45,21.1528,20.6406,25.0542,77.8123,2.6116,5.80403,0.0378551
22983,620.433,599.75,0,24.934,24.744,80.373,78.438,2175.1,21.1967,20.8615,24.8573,79.4296,2.61201,6.04195,0.0350515
22984,620.311,599.75,0,24.876,24.754,80.378,79.41,2144.5,21.2151,21.0377,24.8037,79.8765,2.9125,5.95694,0.0363228
22985,619.841,599.933,0,24.806,24.394,82.558,79.828,2084.11,21.3615,21.0631,24.612,81.451,2.4434,5.78919,0.0303142
22986,620.33,599.765,0,24.744,24.314,82.482,77.006,2031.57,21.2395,20.3136,24.4898,78.8248,2.06069,5.64324,0.0309734
22987,620.363,599.673,0,24.494,24.314,80.168,79.004,1999.81,20.7875,20.5434,24.419,79.7502,1.94208,5.55504,0.028572
22988,620.314,599.75,0,24.434,23.552,83.09,78.76,1967.61,20.6029,20.3874,24.0254,80.5469,2.23167,5.4656,0.0294743
22989,620.296,599.686,0,23.552,23.212,83.684,82.609,1933.48,20.5504,20.2513,23.4237,83.0852,1.74153,5.37077,0.0219061
22990,620.314,599.734,0,23.232,22.609,85.828,83.464,1878.07,20.3159,20.0941,22.8814,84.7934,0.984444,5.21687,0.0136638
22991,600.943,599.765,0,24.154,22.579,85.902,79.289,2217.89,20.4723,20.0999,23.2467,83.3263,0.744931,6.16081,0.016745
22992,620.287,599.734,0,27.078,24.144,79.582,65.007,2947.78,20.7579,19.8962,25.3636,73.6537,2.15576,8.18828,0.0581301
22993,620.235,599.829,0,28.88,26.558,66.222,55.917,3235.39,20.1355,18.8275,27.6951,61.3629,2.60069,8.98718,0.101436
22994,620.058,599.792,0,29.34,27.54,61.322,52.736,2767.14,20.0172,18.2253,28.4673,56.6385,1.92069,7.6865,0.0886304
22995,620.137,599.768,0,31.451,29.029,54.629,44.138,3641.27,19.6316,17.0823,30.2511,48.8922,2.46819,10.1146,0.133899
22996,620.021,599.811,0,32.937,30.68,47.145,39.769,4024.47,18.7626,16.8416,31.7912,42.518,2.77035,11.1791,0.170375
22997,620.031,599.75,0,33.765,31.81,44.695,36.988,4087.07,19.0473,16.7042,32.7637,39.8074,2.60076,11.353,0.171969
22998,619.979,599.78,0,34.585,32.837,39.664,34.421,4100.21,18.092,16.3677,33.9201,36.5245,2.44417,11.3895,0.175094
22999,620.137,599.75,0,35.653,33.718,37.115,32.044,3517.8,17.6353,15.8775,34.7314,34.331,2.06653,9.77168,0.157522
23000,620.128,599.698,0,35.653,33.567,34.414,30.882,2633.74,17.0118,15.2786,34.7575,32.623,2.12875,7.31593,0.163815
23001,620.11,599.841,0,35.593,34.406,33.085,30.104,2347.98,16.2757,14.6106,34.9266,30.9767,1.66479,6.52216,0.134768
23002,620.067,599.863,0,34.515,31.81,41.084,29.972,1864.89,16.9829,14.2707,33.4622,32.3453,1.26979,5.18024,0.100662
23003,600.955,599.933,0,31.74,28.869,46.004,41.009,1775.61,17.4517,15.8749,29.9816,44.9959,2.46528,4.93226,0.102293
23004,620.07,599.826,0,28.869,27.2,52.195,45.339,1815.65,16.6358,15.4894,27.9168,48.387,2.56042,5.04346,0.0926969
23005,620.418,599.753,0,27.2,26.157,57.75,51.81,1854.95,17.2147,16.18,26.6344,53.7906,2.43132,5.15264,0.0774961
23006,620.076,599.75,0,26.177,25.056,70.154,57.716,1959.07,19.2751,17.2029,25.603,64.0416,2.48771,5.44186,0.0596105
23007,619.899,599.75,0,25.114,24.735,78.121,70.234,2065.38,20.6959,19.2617,24.8782,75.7077,2.27833,5.73716,0.0379395
23008,619.872,599.734,0,24.754,24.404,81.355,78.096,2093.85,21.0401,20.6772,24.6037,79.7442,2.09063,5.81624,0.0301106
